rank,total_amount_eth,total_amount_usd,address_short,last_campaign_end,last_found_date,min_unclaimed_days,max_unclaimed_days,avg_unclaimed_days,avg_claim_probability,total_campaigns,unique_tokens,unique_chains,max_score,total_expected_value,urgency,profit_tier,value_density,inactivity_score,time_decay_risk,recommended_action,opportunity_type,tokens_breakdown,chains_breakdown,whale_flag,is_diversified,address_score
921,0.01666483,36.4,0xadd2...15e6,2026-04-14,2026-04-13,0.0,0.0,0.0,77.0,1,1,1,25.933241499999998,9.1,low,standard,4.25,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0167ETH,Base:0.0167ETH,no,no,27.5266
939,0.01616908,35.32,0x22f2...a2b9,2026-04-16,2026-04-13,0.0,3.0,1.5,57.0,2,1,1,19.512451,7.0600000000000005,low,micro,2.1,very_low,very_high,monitor_monthly,speculative,RLUSD:0.0162ETH,Ethereum:0.0162ETH,no,no,21.3597
957,0.01581279,34.54,0xb10c...6671,2026-04-14,2026-04-13,0.0,0.0,0.0,77.0,1,1,1,25.8906395,8.63,low,standard,4.03,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0158ETH,Base:0.0158ETH,no,no,27.4797
975,0.01536529,33.56,0xd231...858c,2026-04-30,2026-04-13,0.0,0.0,0.0,59.5,2,2,1,25.201356999999998,4.0200000000000005,low,micro,3.4,very_low,very_high,monitor_monthly,high_confidence_low_value,PYUSD:0.0133ETH; MORPHO:0.002ETH,Ethereum:0.0154ETH,no,yes,23.1384
993,0.01510664,32.99,0x19b1...1001,2026-04-16,2026-04-13,0.0,3.0,1.5,49.5,2,1,1,19.323064499999997,4.28,low,micro,2.71,very_low,very_high,monitor_monthly,speculative,PYUSD:0.0151ETH,Ethereum:0.0151ETH,no,no,19.0376
1011,0.01473311,32.18,0x357d...7cba,2026-06-25,2026-04-13,0.0,0.0,0.0,42.0,1,1,1,15.336655499999999,3.22,low,standard,3.75,very_low,very_high,monitor_monthly,speculative,USDC:0.0147ETH,Ethereum:0.0147ETH,no,no,15.8703
1029,0.01432005,31.28,0x9521...4438,2026-04-14,2026-04-13,0.0,0.0,0.0,57.0,1,1,1,19.816002499999996,6.26,low,standard,3.65,very_low,very_high,monitor_monthly,speculative,USDC:0.0143ETH,Base:0.0143ETH,no,no,20.7976
1047,0.01388245,30.32,0x3859...be5e,2026-04-14,2026-04-13,0.0,0.0,0.0,77.0,1,1,1,25.794122499999997,7.58,low,standard,3.54,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0139ETH,Base:0.0139ETH,no,no,27.3735
1065,0.01350348,29.49,0xbfad...00f4,2026-04-14,2026-04-13,0.0,0.0,0.0,77.0,1,1,1,25.775173999999996,7.37,low,standard,3.44,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0135ETH,Base:0.0135ETH,no,no,27.3527
1083,0.01324404,28.93,0x2dfa...2dea,2026-04-14,2026-04-13,0.0,0.0,0.0,77.0,1,1,1,25.762202,7.23,low,standard,3.37,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0132ETH,Base:0.0132ETH,no,no,27.3384
1101,0.01294563,28.270000000000003,0x82f0...257c,2026-04-16,2026-04-13,0.0,3.0,1.5,88.0,2,1,1,28.826262999999997,7.07,low,micro,2.17,very_low,very_high,monitor_monthly,high_confidence_low_value,QUICK:0.0129ETH,Base:0.0129ETH,no,no,31.4299
1119,0.0127562,27.86,0x312a...a138,2026-04-14,2026-04-13,0.0,0.0,0.0,77.0,1,1,1,25.737809999999996,6.96,low,standard,3.25,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0128ETH,Base:0.0128ETH,no,no,27.3116
1137,0.01243186,27.15,0x29b6...2921,2026-04-16,2026-04-13,0.0,3.0,1.5,57.0,6,2,1,19.246682999999997,5.43,low,micro,0.75,very_low,very_high,monitor_monthly,speculative,RLUSD:0.0094ETH; PYUSD:0.0031ETH,Ethereum:0.0124ETH,no,yes,23.6463
1155,0.01208988,26.4,0x496c...7ef5,2026-02-18,2026-04-13,53.0,53.0,53.0,95.0,2,1,1,30.802247,6.6,low,micro,1.54,low,medium,monitor_monthly,high_confidence_low_value,MORPHO:0.0121ETH,Arbitrum:0.0121ETH,no,no,33.6847
1173,0.01168976,25.54,0x3e8f...e4d5,2026-02-18,2026-04-13,53.0,53.0,53.0,95.0,2,1,1,30.792244,6.38,low,micro,1.49,low,medium,monitor_monthly,high_confidence_low_value,MORPHO:0.0117ETH,Arbitrum:0.0117ETH,no,no,33.6637
1191,0.0114202,24.939999999999998,0xffb2...2b15,2026-04-16,2026-04-13,0.0,3.0,1.5,57.0,2,1,1,19.443640499999997,4.99,low,micro,1.75,very_low,very_high,monitor_monthly,speculative,PYUSD:0.0114ETH,Ethereum:0.0114ETH,no,no,21.1154
1209,0.01122897,24.520000000000003,0xfd4a...dddb,2026-02-24,2026-04-13,48.0,54.0,51.0,91.0,2,1,1,29.639138,6.130000000000001,low,micro,1.73,low,medium,monitor_monthly,high_confidence_low_value,WETH:0.0112ETH,Linea:0.0112ETH,no,no,32.3254
1227,0.01097258,23.97,0xc2fb...4359,2026-04-16,2026-04-13,0.0,3.0,1.5,57.0,2,1,1,19.486607999999997,4.8,low,micro,1.97,very_low,very_high,monitor_monthly,speculative,PYUSD:0.011ETH,Ethereum:0.011ETH,no,no,21.0973
